household_id,type,people,rooms,date,day_of_year,outside_temp_c,daily_consumption_kwh,peak_power_kw
H001,Residential,1,7,2023-04-07,97,27.9,7.44,0.96
H001,Residential,1,7,2023-04-08,98,23.6,6.96,0.77
H001,Residential,1,7,2023-04-09,99,21.2,7.22,0.75
H001,Residential,1,7,2023-04-10,100,19.3,7.61,0.92
H001,Residential,1,7,2023-04-11,101,23.8,7.65,0.91
H001,Residential,1,7,2023-04-12,102,22.0,8.32,0.95
H001,Residential,1,7,2023-04-13,103,22.8,8.12,0.97
H001,Residential,1,7,2023-04-14,104,22.6,6.48,0.94
H001,Residential,1,7,2023-04-15,105,23.6,8.83,1.12
H001,Residential,1,7,2023-04-16,106,25.9,6.82,0.88
H001,Residential,1,7,2023-04-17,107,24.4,7.95,1.01
H001,Residential,1,7,2023-04-18,108,24.0,7.25,0.97
H001,Residential,1,7,2023-04-19,109,22.6,6.9,0.81
H001,Residential,1,7,2023-04-20,110,21.5,5.9,0.59
H001,Residential,1,7,2023-04-21,111,23.8,7.08,0.83
H001,Residential,1,7,2023-04-22,112,24.7,6.38,0.81
H001,Residential,1,7,2023-04-23,113,28.1,7.9,0.87
H001,Residential,1,7,2023-04-24,114,25.3,8.29,0.97
H001,Residential,1,7,2023-04-25,115,27.0,6.63,0.75
H001,Residential,1,7,2023-04-26,116,24.4,7.42,0.99
H001,Residential,1,7,2023-04-27,117,23.3,6.68,0.84
H001,Residential,1,7,2023-04-28,118,23.8,6.75,0.85
H001,Residential,1,7,2023-04-29,119,24.4,8.15,1.02
H001,Residential,1,7,2023-04-30,120,29.6,7.17,0.85
H001,Residential,1,7,2023-05-01,121,24.4,8.45,1.02
H001,Residential,1,7,2023-05-02,122,27.5,6.85,0.74
H001,Residential,1,7,2023-05-03,123,24.5,7.92,0.78
H001,Residential,1,7,2023-05-04,124,27.9,7.27,0.88
H001,Residential,1,7,2023-05-05,125,27.0,7.77,0.95
H001,Residential,1,7,2023-05-06,126,26.2,7.22,0.94
H001,Residential,1,7,2023-05-07,127,26.5,7.16,0.96
H001,Residential,1,7,2023-05-08,128,25.5,7.12,0.95
H001,Residential,1,7,2023-05-09,129,27.5,6.6,0.72
H001,Residential,1,7,2023-05-10,130,26.0,7.68,0.89
H001,Residential,1,7,2023-05-11,131,24.7,7.67,0.95
H001,Residential,1,7,2023-05-12,132,24.7,7.63,1.09
H001,Residential,1,7,2023-05-13,133,27.4,8.72,1.16
H001,Residential,1,7,2023-05-14,134,30.0,8.24,1.07
H001,Residential,1,7,2023-05-15,135,27.5,6.93,0.8
H001,Residential,1,7,2023-05-16,136,27.1,7.47,0.83
H001,Residential,1,7,2023-05-17,137,27.9,6.75,0.85
H001,Residential,1,7,2023-05-18,138,29.8,7.22,0.78
H001,Residential,1,7,2023-05-19,139,28.0,6.77,0.79
H001,Residential,1,7,2023-05-20,140,26.9,8.78,1.04
H001,Residential,1,7,2023-05-21,141,29.7,7.46,1.0
H001,Residential,1,7,2023-05-22,142,28.5,7.04,0.81
H001,Residential,1,7,2023-05-23,143,30.6,8.12,0.78
H001,Residential,1,7,2023-05-24,144,28.2,5.64,0.7
H001,Residential,1,7,2023-05-25,145,25.7,5.75,0.65
H001,Residential,1,7,2023-05-26,146,25.5,7.77,0.93
H001,Residential,1,7,2023-05-27,147,31.0,7.71,0.91
H001,Residential,1,7,2023-05-28,148,31.2,7.51,0.87
H001,Residential,1,7,2023-05-29,149,27.8,6.24,0.79
H001,Residential,1,7,2023-05-30,150,27.5,7.18,0.75
H001,Residential,1,7,2023-05-31,151,30.9,8.75,1.0
H001,Residential,1,7,2023-06-01,152,26.3,7.79,0.98
H001,Residential,1,7,2023-06-02,153,26.7,7.32,0.83
H001,Residential,1,7,2023-06-03,154,29.5,7.23,0.75
H001,Residential,1,7,2023-06-04,155,27.6,6.92,0.87
H001,Residential,1,7,2023-06-05,156,28.4,5.67,0.74
H001,Residential,1,7,2023-06-06,157,28.1,7.39,0.88
H001,Residential,1,7,2023-06-07,158,29.0,7.81,0.78
H001,Residential,1,7,2023-06-08,159,31.0,6.15,0.77
H001,Residential,1,7,2023-06-09,160,28.6,6.72,0.69
H001,Residential,1,7,2023-06-10,161,29.6,6.68,0.82
H001,Residential,1,7,2023-06-11,162,24.8,6.5,0.72
H001,Residential,1,7,2023-06-12,163,28.4,7.24,0.78
H001,Residential,1,7,2023-06-13,164,27.0,5.7,0.65
H001,Residential,1,7,2023-06-14,165,26.3,7.64,0.9
H001,Residential,1,7,2023-06-15,166,26.9,7.74,0.87
H001,Residential,1,7,2023-06-16,167,27.9,7.02,0.87
H001,Residential,1,7,2023-06-17,168,30.1,5.69,0.65
H001,Residential,1,7,2023-06-18,169,26.1,6.48,0.83
H001,Residential,1,7,2023-06-19,170,28.5,8.09,0.98
H001,Residential,1,7,2023-06-20,171,27.6,5.2,0.58
H001,Residential,1,7,2023-06-21,172,27.8,6.95,0.77
H001,Residential,1,7,2023-06-22,173,30.2,6.36,0.66
H001,Residential,1,7,2023-06-23,174,29.4,7.78,0.95
H001,Residential,1,7,2023-06-24,175,30.8,7.13,0.82
H001,Residential,1,7,2023-06-25,176,28.1,7.49,0.72
H001,Residential,1,7,2023-06-26,177,27.0,7.61,0.87
H001,Residential,1,7,2023-06-27,178,27.9,8.52,0.94
H001,Residential,1,7,2023-06-28,179,28.7,7.05,0.95
H001,Residential,1,7,2023-06-29,180,28.5,7.47,0.77
H001,Residential,1,7,2023-06-30,181,26.2,6.13,0.65
H001,Residential,1,7,2023-07-01,182,28.3,8.46,1.1
H001,Residential,1,7,2023-07-02,183,28.5,6.65,0.88
H001,Residential,1,7,2023-07-03,184,32.5,7.07,0.79
H001,Residential,1,7,2023-07-04,185,31.3,7.32,0.83
H001,Residential,1,7,2023-07-05,186,26.4,6.07,0.76
H001,Residential,1,7,2023-07-06,187,27.3,7.36,0.71
H001,Residential,1,7,2023-07-07,188,25.1,7.9,0.8
H001,Residential,1,7,2023-07-08,189,26.6,7.78,0.91
H001,Residential,1,7,2023-07-09,190,28.2,6.06,0.81
H001,Residential,1,7,2023-07-10,191,29.7,7.11,0.82
H001,Residential,1,7,2023-07-11,192,26.2,7.73,0.93
H001,Residential,1,7,2023-07-12,193,26.2,5.85,0.76
H001,Residential,1,7,2023-07-13,194,23.5,6.43,0.89
H001,Residential,1,7,2023-07-14,195,27.0,7.83,0.89
H001,Residential,1,7,2023-07-15,196,25.3,7.76,0.92
H001,Residential,1,7,2023-07-16,197,26.1,7.5,1.02
H001,Residential,1,7,2023-07-17,198,25.4,8.54,0.89
H001,Residential,1,7,2023-07-18,199,26.7,7.54,0.97
H001,Residential,1,7,2023-07-19,200,23.7,7.67,0.84
H001,Residential,1,7,2023-07-20,201,24.1,9.15,1.1
H001,Residential,1,7,2023-07-21,202,30.5,7.09,0.83
H001,Residential,1,7,2023-07-22,203,24.2,6.96,0.76
H001,Residential,1,7,2023-07-23,204,24.5,7.51,0.82
H001,Residential,1,7,2023-07-24,205,29.6,7.52,0.91
H001,Residential,1,7,2023-07-25,206,31.5,6.97,0.9
H001,Residential,1,7,2023-07-26,207,24.0,6.46,0.76
H001,Residential,1,7,2023-07-27,208,25.4,8.86,1.06
H001,Residential,1,7,2023-07-28,209,26.5,7.44,0.93
H001,Residential,1,7,2023-07-29,210,28.9,7.01,0.77
H001,Residential,1,7,2023-07-30,211,23.9,7.86,0.99
H001,Residential,1,7,2023-07-31,212,25.1,7.12,0.9
H001,Residential,1,7,2023-08-01,213,26.8,7.02,1.01
H001,Residential,1,7,2023-08-02,214,26.1,7.6,0.88
H001,Residential,1,7,2023-08-03,215,24.5,6.27,0.72
H001,Residential,1,7,2023-08-04,216,24.8,7.45,0.94
H001,Residential,1,7,2023-08-05,217,22.5,9.01,1.14
H001,Residential,1,7,2023-08-06,218,24.4,7.54,0.86
H001,Residential,1,7,2023-08-07,219,24.2,6.93,0.8
H001,Residential,1,7,2023-08-08,220,25.0,6.83,0.85
H001,Residential,1,7,2023-08-09,221,23.4,6.9,0.77
H001,Residential,1,7,2023-08-10,222,25.1,7.02,0.81
H001,Residential,1,7,2023-08-11,223,26.0,6.93,0.83
H001,Residential,1,7,2023-08-12,224,24.3,8.25,1.06
H001,Residential,1,7,2023-08-13,225,24.5,5.95,0.67
H001,Residential,1,7,2023-08-14,226,23.8,7.82,0.79
H001,Residential,1,7,2023-08-15,227,23.6,6.93,0.7
H001,Residential,1,7,2023-08-16,228,22.1,7.47,0.8
H001,Residential,1,7,2023-08-17,229,23.9,6.39,0.68
H001,Residential,1,7,2023-08-18,230,23.0,8.16,0.96
H001,Residential,1,7,2023-08-19,231,26.8,8.5,0.92
H001,Residential,1,7,2023-08-20,232,25.7,7.89,0.89
H001,Residential,1,7,2023-08-21,233,23.4,6.11,0.68
H001,Residential,1,7,2023-08-22,234,21.2,7.8,0.9
H001,Residential,1,7,2023-08-23,235,20.4,7.49,0.99
H001,Residential,1,7,2023-08-24,236,24.4,6.04,0.76
H001,Residential,1,7,2023-08-25,237,22.6,7.18,0.86
H001,Residential,1,7,2023-08-26,238,22.8,7.84,0.9
H001,Residential,1,7,2023-08-27,239,18.6,7.6,0.87
H001,Residential,1,7,2023-08-28,240,23.3,7.33,0.9
H001,Residential,1,7,2023-08-29,241,22.3,7.41,0.92
H001,Residential,1,7,2023-08-30,242,19.3,8.26,0.91
H001,Residential,1,7,2023-08-31,243,20.3,8.08,0.97
H001,Residential,1,7,2023-09-01,244,21.5,5.14,0.51
H001,Residential,1,7,2023-09-02,245,20.9,7.32,0.89
H001,Residential,1,7,2023-09-03,246,20.1,7.08,0.89
H001,Residential,1,7,2023-09-04,247,20.3,5.94,0.69
H001,Residential,1,7,2023-09-05,248,19.9,7.27,0.99
H001,Residential,1,7,2023-09-06,249,20.5,8.1,0.9
H001,Residential,1,7,2023-09-07,250,22.7,6.42,0.78
H001,Residential,1,7,2023-09-08,251,15.2,8.07,0.96
H001,Residential,1,7,2023-09-09,252,19.3,6.87,0.81
H001,Residential,1,7,2023-09-10,253,19.8,6.72,0.79
H001,Residential,1,7,2023-09-11,254,19.9,8.26,0.99
H001,Residential,1,7,2023-09-12,255,18.5,6.81,0.87
H001,Residential,1,7,2023-09-13,256,15.9,7.97,1.05
H001,Residential,1,7,2023-09-14,257,19.5,5.85,0.7
H001,Residential,1,7,2023-09-15,258,21.8,8.54,1.08
H001,Residential,1,7,2023-09-16,259,15.8,8.51,0.96
H001,Residential,1,7,2023-09-17,260,19.9,8.34,1.05
H001,Residential,1,7,2023-09-18,261,17.6,9.05,1.01
H001,Residential,1,7,2023-09-19,262,18.0,7.3,0.94
H001,Residential,1,7,2023-09-20,263,16.0,10.02,1.4
H001,Residential,1,7,2023-09-21,264,17.1,8.38,0.99
H001,Residential,1,7,2023-09-22,265,19.9,8.32,0.82
H001,Residential,1,7,2023-09-23,266,18.5,8.48,0.97
H001,Residential,1,7,2023-09-24,267,20.4,8.0,1.05
H001,Residential,1,7,2023-09-25,268,19.2,9.09,1.13
H001,Residential,1,7,2023-09-26,269,17.7,8.75,1.06
H001,Residential,1,7,2023-09-27,270,19.9,9.05,1.16
H001,Residential,1,7,2023-09-28,271,17.4,8.59,1.06
H001,Residential,1,7,2023-09-29,272,17.9,8.94,1.17
H001,Residential,1,7,2023-09-30,273,15.8,9.08,1.16
H001,Residential,1,7,2023-10-01,274,16.3,10.85,1.45
H001,Residential,1,7,2023-10-02,275,14.7,7.92,0.97
H001,Residential,1,7,2023-10-03,276,17.6,9.63,1.23
H001,Residential,1,7,2023-10-04,277,13.6,11.13,1.29
H001,Residential,1,7,2023-10-05,278,16.9,7.97,0.9
H001,Residential,1,7,2023-10-06,279,15.0,11.35,1.54
H001,Residential,1,7,2023-10-07,280,17.3,9.95,1.2
H001,Residential,1,7,2023-10-08,281,16.4,9.7,1.23
H001,Residential,1,7,2023-10-09,282,18.2,8.52,1.02
H001,Residential,1,7,2023-10-10,283,16.1,7.4,0.84
H001,Residential,1,7,2023-10-11,284,11.8,8.73,1.04
H001,Residential,1,7,2023-10-12,285,14.4,8.36,1.11
H001,Residential,1,7,2023-10-13,286,12.2,10.0,1.24
H001,Residential,1,7,2023-10-14,287,13.3,8.98,0.92
H001,Residential,1,7,2023-10-15,288,16.8,6.73,0.79
H001,Residential,1,7,2023-10-16,289,15.1,8.48,1.15
H001,Residential,1,7,2023-10-17,290,12.5,9.47,1.11
H001,Residential,1,7,2023-10-18,291,11.8,9.5,0.97
H001,Residential,1,7,2023-10-19,292,13.6,8.92,1.22
H001,Residential,1,7,2023-10-20,293,11.2,8.89,1.12
H001,Residential,1,7,2023-10-21,294,12.0,8.42,1.0
H001,Residential,1,7,2023-10-22,295,13.7,7.55,0.87
H001,Residential,1,7,2023-10-23,296,15.1,6.56,0.85
H001,Residential,1,7,2023-10-24,297,14.0,8.36,0.95
H001,Residential,1,7,2023-10-25,298,8.6,10.06,1.31
H001,Residential,1,7,2023-10-26,299,13.2,8.06,1.0
H001,Residential,1,7,2023-10-27,300,12.6,6.08,0.74
H001,Residential,1,7,2023-10-28,301,13.1,7.78,0.94
H001,Residential,1,7,2023-10-29,302,15.2,8.69,1.02
H001,Residential,1,7,2023-10-30,303,8.4,9.55,1.23
H001,Residential,1,7,2023-10-31,304,11.0,9.54,1.06
H001,Residential,1,7,2023-11-01,305,13.0,7.31,0.76
H001,Residential,1,7,2023-11-02,306,9.0,11.42,1.43
H001,Residential,1,7,2023-11-03,307,14.4,7.93,0.99
H001,Residential,1,7,2023-11-04,308,12.3,9.44,1.17
H001,Residential,1,7,2023-11-05,309,13.0,10.47,1.29
H001,Residential,1,7,2023-11-06,310,10.4,10.87,1.26
H001,Residential,1,7,2023-11-07,311,12.8,8.3,1.05
H001,Residential,1,7,2023-11-08,312,13.1,7.96,0.94
H001,Residential,1,7,2023-11-09,313,11.5,8.73,1.0
H001,Residential,1,7,2023-11-10,314,11.5,9.48,1.1
H001,Residential,1,7,2023-11-11,315,11.4,9.41,1.3
H001,Residential,1,7,2023-11-12,316,9.3,9.47,0.97
H001,Residential,1,7,2023-11-13,317,10.5,10.77,1.33
H001,Residential,1,7,2023-11-14,318,10.4,9.33,0.96
H001,Residential,1,7,2023-11-15,319,11.3,11.19,1.32
H001,Residential,1,7,2023-11-16,320,12.3,8.82,1.01
H001,Residential,1,7,2023-11-17,321,8.6,11.96,1.19
H001,Residential,1,7,2023-11-18,322,10.2,10.34,1.27
H001,Residential,1,7,2023-11-19,323,13.0,9.31,1.08
H001,Residential,1,7,2023-11-20,324,8.9,9.3,0.92
H001,Residential,1,7,2023-11-21,325,8.7,9.24,1.17
H001,Residential,1,7,2023-11-22,326,10.5,9.83,1.3
H001,Residential,1,7,2023-11-23,327,11.6,9.88,1.32
H001,Residential,1,7,2023-11-24,328,10.1,9.59,1.17
H001,Residential,1,7,2023-11-25,329,12.4,7.96,0.95
H001,Residential,1,7,2023-11-26,330,11.5,7.8,1.03
H001,Residential,1,7,2023-11-27,331,11.4,7.77,1.05
H001,Residential,1,7,2023-11-28,332,10.8,7.64,0.99
H001,Residential,1,7,2023-11-29,333,14.0,8.26,0.91
H001,Residential,1,7,2023-11-30,334,9.4,10.93,1.32
H001,Residential,1,7,2023-12-01,335,6.1,11.19,1.38
H001,Residential,1,7,2023-12-02,336,12.6,7.02,0.71
H001,Residential,1,7,2023-12-03,337,8.8,9.87,1.22
H001,Residential,1,7,2023-12-04,338,9.8,9.51,1.34
H001,Residential,1,7,2023-12-05,339,12.0,10.7,1.34
H001,Residential,1,7,2023-12-06,340,6.7,9.35,1.24
H001,Residential,1,7,2023-12-07,341,7.3,10.27,1.24
H001,Residential,1,7,2023-12-08,342,6.7,12.81,1.52
H001,Residential,1,7,2023-12-09,343,8.1,11.36,1.39
H001,Residential,1,7,2023-12-10,344,10.3,10.01,1.11
H001,Residential,1,7,2023-12-11,345,10.5,9.5,1.04
H001,Residential,1,7,2023-12-12,346,10.0,9.9,1.3
H001,Residential,1,7,2023-12-13,347,7.0,11.65,1.54
H001,Residential,1,7,2023-12-14,348,5.3,10.62,1.16
H001,Residential,1,7,2023-12-15,349,9.6,10.6,1.36
H001,Residential,1,7,2023-12-16,350,8.7,9.15,1.08
H001,Residential,1,7,2023-12-17,351,10.3,9.78,1.2
H001,Residential,1,7,2023-12-18,352,10.8,9.45,1.17
H001,Residential,1,7,2023-12-19,353,9.8,9.07,1.17
H001,Residential,1,7,2023-12-20,354,10.9,9.22,1.11
H001,Residential,1,7,2023-12-21,355,10.0,8.99,1.19
H001,Residential,1,7,2023-12-22,356,10.6,8.36,1.02
H001,Residential,1,7,2023-12-23,357,8.4,10.36,1.29
H001,Residential,1,7,2023-12-24,358,9.3,8.77,0.97
H001,Residential,1,7,2023-12-25,359,10.0,9.9,1.38
H001,Residential,1,7,2023-12-26,360,11.2,8.08,1.0
H001,Residential,1,7,2023-12-27,361,9.0,10.69,1.35
H001,Residential,1,7,2023-12-28,362,10.7,8.22,0.85
H001,Residential,1,7,2023-12-29,363,9.4,9.27,1.03
H001,Residential,1,7,2023-12-30,364,9.7,9.55,1.25
H001,Residential,1,7,2023-12-31,365,11.4,10.26,1.25
H001,Residential,1,7,2024-01-01,1,6.4,11.44,1.15
H001,Residential,1,7,2024-01-02,2,7.7,10.29,1.33
H001,Residential,1,7,2024-01-03,3,7.4,11.17,1.27
H001,Residential,1,7,2024-01-04,4,5.9,8.91,1.18
H001,Residential,1,7,2024-01-05,5,9.0,9.94,1.18
H001,Residential,1,7,2024-01-06,6,11.6,11.32,1.37
H001,Residential,1,7,2024-01-07,7,9.8,9.79,1.28
H001,Residential,1,7,2024-01-08,8,10.8,9.35,1.03
H001,Residential,1,7,2024-01-09,9,12.4,9.18,1.01
H001,Residential,1,7,2024-01-10,10,12.9,9.29,1.09
H001,Residential,1,7,2024-01-11,11,10.5,7.52,0.95
H001,Residential,1,7,2024-01-12,12,13.1,7.04,0.75
H001,Residential,1,7,2024-01-13,13,10.9,9.91,1.02
H001,Residential,1,7,2024-01-14,14,9.4,9.12,1.16
H001,Residential,1,7,2024-01-15,15,9.9,10.89,1.23
H001,Residential,1,7,2024-01-16,16,8.4,9.91,1.14
H001,Residential,1,7,2024-01-17,17,9.5,7.89,0.8
H001,Residential,1,7,2024-01-18,18,10.6,8.17,0.92
H001,Residential,1,7,2024-01-19,19,12.8,6.21,0.74
H001,Residential,1,7,2024-01-20,20,14.5,8.22,1.05
H001,Residential,1,7,2024-01-21,21,9.0,9.8,1.09
H001,Residential,1,7,2024-01-22,22,12.3,8.37,1.13
H001,Residential,1,7,2024-01-23,23,9.8,10.71,1.21
H001,Residential,1,7,2024-01-24,24,12.7,9.63,1.08
H001,Residential,1,7,2024-01-25,25,11.7,8.8,1.18
H001,Residential,1,7,2024-01-26,26,8.7,7.95,0.96
H001,Residential,1,7,2024-01-27,27,13.8,9.18,1.04
H001,Residential,1,7,2024-01-28,28,11.2,9.64,1.13
H001,Residential,1,7,2024-01-29,29,11.4,9.34,1.23
H001,Residential,1,7,2024-01-30,30,10.6,10.28,1.37
H001,Residential,1,7,2024-01-31,31,11.4,8.0,0.89
H001,Residential,1,7,2024-02-01,32,13.5,10.0,1.19
H001,Residential,1,7,2024-02-02,33,12.5,7.84,0.94
H001,Residential,1,7,2024-02-03,34,13.6,9.37,1.03
H001,Residential,1,7,2024-02-04,35,13.8,6.84,0.81
H001,Residential,1,7,2024-02-05,36,15.6,6.98,0.83
H001,Residential,1,7,2024-02-06,37,12.8,9.86,1.28
H001,Residential,1,7,2024-02-07,38,10.9,9.0,1.18
H001,Residential,1,7,2024-02-08,39,15.6,8.35,0.97
H001,Residential,1,7,2024-02-09,40,13.2,8.63,1.01
H001,Residential,1,7,2024-02-10,41,15.9,7.92,0.99
H001,Residential,1,7,2024-02-11,42,14.8,9.01,1.02
H001,Residential,1,7,2024-02-12,43,14.0,7.98,0.99
H001,Residential,1,7,2024-02-13,44,15.0,6.47,0.76
H001,Residential,1,7,2024-02-14,45,18.0,6.62,0.73
H001,Residential,1,7,2024-02-15,46,18.4,7.6,0.84
H001,Residential,1,7,2024-02-16,47,14.9,8.21,1.09
H001,Residential,1,7,2024-02-17,48,15.2,6.92,0.81
H001,Residential,1,7,2024-02-18,49,17.0,6.83,0.92
H001,Residential,1,7,2024-02-19,50,13.7,7.78,0.89
H001,Residential,1,7,2024-02-20,51,16.0,7.32,0.89
H001,Residential,1,7,2024-02-21,52,15.5,6.66,0.95
H001,Residential,1,7,2024-02-22,53,16.2,7.07,0.77
H001,Residential,1,7,2024-02-23,54,14.3,7.49,0.76
H001,Residential,1,7,2024-02-24,55,13.1,9.57,1.26
H001,Residential,1,7,2024-02-25,56,12.4,9.41,1.05
H001,Residential,1,7,2024-02-26,57,14.3,7.96,0.95
H001,Residential,1,7,2024-02-27,58,15.6,7.4,0.84
H001,Residential,1,7,2024-02-28,59,16.1,7.67,0.93
H001,Residential,1,7,2024-02-29,60,20.3,6.61,0.73
H001,Residential,1,7,2024-03-01,61,18.9,6.37,0.75
H001,Residential,1,7,2024-03-02,62,15.4,7.38,0.91
H001,Residential,1,7,2024-03-03,63,17.9,6.75,0.74
H001,Residential,1,7,2024-03-04,64,16.7,6.56,0.74
H001,Residential,1,7,2024-03-05,65,17.1,7.46,0.86
H001,Residential,1,7,2024-03-06,66,18.1,7.73,0.81
H001,Residential,1,7,2024-03-07,67,19.0,6.06,0.7
H001,Residential,1,7,2024-03-08,68,17.5,7.28,0.88
H001,Residential,1,7,2024-03-09,69,20.1,7.39,0.85
